84E5 : STA 33         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84E7 : LDA 3E         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84E9 : SBC 32         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84EB : STA 32         : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84ED : LDA 3D         : A=80 X=8A Y=01 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84EF : SBC 31         : A=03 X=8A Y=01 SP=?? N=0 V=1 D=0 I=0 Z=0 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
84F1 : JMP 8304       : A=03 X=8A Y=01 SP=?? N=0 V=1 D=0 I=0 Z=0 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8304 : BMI 8346       : A=03 X=8A Y=01 SP=?? N=0 V=1 D=0 I=0 Z=0 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8306 : BNE 832F       : A=03 X=8A Y=01 SP=?? N=0 V=1 D=0 I=0 Z=0 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
832F : LDY 30         : A=03 X=8A Y=81 SP=?? N=1 V=1 D=0 I=0 Z=0 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8331 : DEY            : A=03 X=8A Y=80 SP=?? N=1 V=1 D=0 I=0 Z=0 C=1 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8332 : ASL 35         : A=03 X=8A Y=80 SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8334 : ROL 34         : A=03 X=8A Y=80 SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8336 : ROL 33         : A=03 X=8A Y=80 SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8338 : ROL 32         : A=03 X=8A Y=80 SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833A : ROL A          : A=06 X=8A Y=80 SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833B : BPL 8331       : A=06 X=8A Y=80 SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8331 : DEY            : A=06 X=8A Y=7F SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8332 : ASL 35         : A=06 X=8A Y=7F SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8334 : ROL 34         : A=06 X=8A Y=7F SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8336 : ROL 33         : A=06 X=8A Y=7F SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8338 : ROL 32         : A=06 X=8A Y=7F SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833A : ROL A          : A=0C X=8A Y=7F SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833B : BPL 8331       : A=0C X=8A Y=7F SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8331 : DEY            : A=0C X=8A Y=7E SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8332 : ASL 35         : A=0C X=8A Y=7E SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8334 : ROL 34         : A=0C X=8A Y=7E SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8336 : ROL 33         : A=0C X=8A Y=7E SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8338 : ROL 32         : A=0C X=8A Y=7E SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833A : ROL A          : A=18 X=8A Y=7E SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:7D000000:00:00 = +9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
