8334 : ROL 34         : A=3E X=8A Y=7E SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8336 : ROL 33         : A=3E X=8A Y=7E SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8338 : ROL 32         : A=3E X=8A Y=7E SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833A : ROL A          : A=7C X=8A Y=7E SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
833B : BPL 8331       : A=7C X=8A Y=7E SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8331 : DEY            : A=7C X=8A Y=7D SP=?? N=0 V=1 D=0 I=0 Z=0 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8332 : ASL 35         : A=7C X=8A Y=7D SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8334 : ROL 34         : A=7C X=8A Y=7D SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8336 : ROL 33         : A=7C X=8A Y=7D SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8338 : ROL 32         : A=7C X=8A Y=7D SP=?? N=0 V=1 D=0 I=0 Z=1 C=0 : FWA 00-81:70000000:00:00 = +8.75000000E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
